code,name,address,city,email,web_page,contact_person,phone,company_profile,total_revenue_2023,profit_before_tax,equity,total_liabilities,total_assets,market_capitalization,hv_isin,hv_total
MPT,Макпетрол АД Скопје,ул. Св.Кирил и Методиј  бр.4,Скопје,normativa@makpetrol.com.mk,http://www.makpetrol.com.mk,Мери Забазноска,+389 2 3112 144,"Макпетрол АД Скопје е компанија која се занимава со снабдување на нафта и нафтени деривати во Република Македонија. Производниот асортиман на компанијата располага со квалитетни горива на пазарот, биогорива, природен гас, најразлични видови мазива со врвен квалитет за комерцијалните возила и индустријата. Во рамките на својата пазарна стратегија, компанијата ги покрива и следните сегменти: трговија со метали, производи за широка потрошувачка, производи на автоиндустријата, и аудиовизуелни уреди. Дел од активноститена Макпетрол АД Скопје претставуваат и комплексите на технолошки синџири и системи што се сложени и имаат потреба од логистичка поддршка на повисоко ниво.",30.220.658,785.242,7.835.903,1.460.682,9.296.585,7.234.647,MKMPTS101014,112.382
MPTE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,MKMPTE101010,7.232
MTUR,Македонијатурист АД Скопје,ул.Филип Втори Македонски бр.5,Скопје,maktur@makedonijaturist.com.mk,http://www.makedonijaturist.com.mk/,Мирјана Таневска Ефремова,+389 2 3292 731,"ХУАД Македонијатурист е друштво која работи во дејноста со хотели и ресторани како и во туристичката дејност. Компанијата работи со пет хотели: Холидеј Ин - 5* Супериор, Бест Вестерн Хотел Турист, Хотел Карпош, Хотел Белви и Хотел Водно.",341.666,96.394,2.876.918,61.984,2.938.902,2.159.081,MKMTUR101018,452.247
MZHE,Вабтек МЗТ АД Скопје,Ул Перо Наков бр.124,Скопје,/,/,Дејан Димитриевски,+389 2 25813 30,Основна дејност на друштвото е производство на друштвото на сопирачка опрема за шински возила,2.361.798,-200.511,-1.664.978,4.363.252,2.698.274,251.564,MKMZHE101012,80.295
MZPU,МЗТ Пумпи АД Скопје,ул. Перо Наков 126,Скопје,info@pumpi.com.mk/,http://www.pumpi.com.mk/,Весна Митреска Ивановска,+389 2 2549 817,"Приоритетна дејност на МЗТ ПУМПИ АД Скопје е производство и монтажа на пумпи, турбини, хидраулична и еколошка опрема и компресори. Производство на други пумпи и компресори",201.557,5.304,289.264,154.942,444.206,38.884,MKMZTP101015,64.059
NEME,Неметали Огражден АД Струмица,ул. Маршал Тито бр.239,Струмица,contact@ograzden.com.mk,/,Зоран Партенов,+389 34 326 888,Основна дејност на „Огражден“ АД Струмица е експлоатација и преработка на минерални суровини,255.403,12.899,191.414,308.743,500.157,76.409,MKNEMS101013,40.215
NOSK,Нова Стоковна куќа АД Струмица,Ул Благој Јанков-Мучето  бр.25,Струмица,/,/,Цвета Белчовска,+389 34 323 190,Основна дејност на „НОВА СТОКОВНА КУЌА“ АД Струмица е издавање и управување со сопствен недвижен имот или недвижен имот земен под закуп.,30.922,15.939,113.660,2.350,205.508,76.814,MKNOSK101013,1.249
OBPP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,MKOBPP101015,500
OILK,ОИЛКО КДА Скопје,Ул.10 Бр.152 МИЛАДИНОВЦИ  -   ИЛИНДЕН,Скопје,normativ@oilco.com.mk,http://www.oilco.com.mk,Марија Ковачка,+389 2 2520 693,Основната дејност на ОИЛКО КДА Скопје е транспорт и дистрибуција на нафтени деривати.,669.577,238.303,1.967.062,58.051,2.025.113,1.505.538,MKOILK101017,250.923
OKTA,ОКТА АД Скопје,"ул. 1 бр. 25, с. Миладиновци",Скопје,/,http://www.okta-elpe.com,Огнена Ничота Стаменкова,+ 389 2 2532 000,"Во 1982 година, со почетокот на работата на процесните постројки, ОКТА АД Скопје го доживува своето раѓање и оттогаш до денес е поврзана со уште еден синоним-единствена рафинерија на сурова нафта во нашата држава. Пред почетокот на новиот милениум, ОКТА започнува да ја создава својата нова иднина како дел од големата групација за рафинирање, дистрибуција, трговија со сурова нафта, нафтени деривати и петрохемиски производи - Хеленик Петролеум. ОКТА постои како рафинерија која има развиено и своја малопродажна мрежа од 27 ребрандирани бензински станици. ОКТА планира и понатамошно ширење на својата малопродажна мрежа со што би се обезбедило целосно задоволување на потребите за нафтени деривати на потрошувачите во сите региони во нашата држава.",49.236.143,191.686,4.851.878,2.006.885,6.858.760,4.223.336,MKOKTA101017,846.360
OMOS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,MKOMOS101010,50.000
OPFO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,MKOPFO101012,12.000
OPTK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,MKOPTK101010,12.536
ORAN,Оранжерии Хамзали Струмица,"С. Хамзали бб, Босилово",Струмица,adhamzali@yahoo.com,http://www.adoranzerii-hamzali.com.mk,Слободанка Панова,+389 34 375 884,"АД Оранжерии Хамзали, општина Босилево е акционерско друштво чија претежна дејност е производство на раноградинарски култури: разни сорти на домати, краставици, блага пиперка, лута пиперка,зелка, компир,жито и др.",743.779,29.500,639.230,494.092,1.133.322,224.193,MKORAS101011,727.899
OSPO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,MKOSPO101017,300.901
OTEK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,MKOTEK101013,488.736
PELK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,MKPELK101010,5.038
PGGV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,MKPEGS101019,1.597
PKB,Пекабеско АД Кадино Илинден,Ул. 10 Бр. 44 с.Кадино,"1041 Илинден, Скопје",pekabesko@pekabesko.com.mk,http://www.pekabesko.com.mk/mk-mk,Роберт Богатинов,+389 2 2656 565,"Пекабеско АД од Скопје е компанија формирана во 1979 година чија основна дејност е производство на сувомесни производи и дистрибуција на храна и цигари. Во 1998 година друштвото започна со производство на сувомеснати производи под брендот Пекабеско. Палетата на сувомеснати производи опфаќа најразлични видови трајни, димени и полутрајни производи. Покрај производството, врши дистрибуцијата на стока на повеќе домашни и странски комапании и е клучна дејност на Пекабеско. Техничките можности, но човечките ресурси и кадар, овозможуваат Пекабеско да заземе едно од водечките места во дистрибутивната дејност во Македонија со што секојдневно врши дистрибуција за десетици домашни и меѓународни компании, односно на повеќе од 270 различни производи. Во 2012 година изграден e новиот Производствено – логистички центар на Пекабеско, лоциран во с.Кадино, општина Илинден.",5.463.633,146.461,1.541.572,837.694,2.379.265,535.425,MKPKBS101016,32.450
POPK,Попова Кула АД Демир Капија,Булевар на виното број 1,Демир Капија,contact@popovakula.com.mk,http://www.popovakula.com.mk,Гордана Трајкова,+389 2 3216 716,Основната дејност на Попова Кула АД Демир Капија е производство на вино од грозје.,58.455,1.712,119.989,59.147,179.136,43.200,MKPOPK101014,2.700.000
PPIV,Прилепска пиварница АД Прилеп,ул. Цане Кузмановски бр. 1,Прилеп,pravnik@pripiv.com.mk,http://prilepskapivarnica.com.mk/,Сашко Самарџиоски,+389 48 421 450,"Прилепска Пиварница е друштво основано во 1924 година со основна дејност производство и дистрибуција на пиво и безалкохолни пијалоци. Заштитен знак на Прилепска Пиварница се висококвалитетните пива Златен Даб и Крали Марко, како едни од водечките домашни брендови на пиво. Прилепска Пиварница е овластен дистрибутер на светски познатите пива Tuborg и Carlsberg. Друштвото произведува и освежителен газиран безалкохолен пијалак Газоза, а како овластен полнител на безалкохолни пијалaци, ги полни пијалаците на Pepsi Cola International: Pepsi, Pepsi Lime, Pepsi Max, 7UP, Mirinda Lemon и Mirinda Orange. Прилепска пиварница А.Д. Прилеп е овластен дистрибутер за минералната вода Књаз Милош и Аква вива, енергетскиот пијалак Гуарана, како и ледените чаеви Липтон и негазираните освежителни безалкохолни пијалаци Тјуб.",2.079.974,122.133,2.467.844,242.174,2.710.018,1.201.572,MKPPIV101019,39.918
PROD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,MKPROD101011,50.882
PROT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,MKPROT101013,1.500
PTRS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,MKPRTS101019,1.952
RADE,Раде Кончар- Апаратна техника АД Скопје,Булевар 3-та Македонска бригада ББ,Скопје,rk@radekoncar-ad.com.mk,http://www.radekoncar-ad.com.mk,Лазаревски Татјана,+ 389 2 2402 481,"Друштвото функционира како холдинг компанија со повеќе самостојни друштва со ограничена одговорност и успешно функционира како самостојно инвестициско друштво. Во својата палета на производи и услуги друштвото се занимава со производство на  производство на AC и DC управувани моторни и помошни контактори , модуларни контактори, биметални релеи, нисконапонски прекинувачи, брегасти склопки, електронски временски релеи, тастери, со еден збор, ги произведува сите основни елементи на релејно контакторско управување и останати електрични постојки како и сервис и поправка на електрични производи.",2.794,30.324,341.216,8.363,349.579,288.722,MKRADE101010,206.230
REPL,Реплек АД Скопје,Ул.Козле 188,Скопје,info@replek.mk,http://www.replek.mk/,Офелија Петковиќ,+389 2 3081 343,"Реплек е компанија чија главна дејност е производство на фармацевтски производи, козметички производи и производи од канабис. Производниот асортиман на компанијата располага со високо квалитетни производи, за чие производство компанијата има и EU GMP сертификат за квалитет. Во рамките на пазарната стратегија, компанијата се фокусира и кон трговија т.е. увоз на лекови, додатоци во исхрана и медицински помагала, регистрација и маркетирање на лекови, логистика како и развој и поддршка на продажни стратегии за различни пазари и партнери. Во моментов компанијата е застапена во 20 земји ширум светот. Со обезбедување на високо квалитетни услуги и производи, компанијата има значајно место на домашниот фармацевтски пазар. Со постојаниот развој на иновативни производи и услуги, компанијата ја промовира добросостојбата кај сите учесници – корисниците, вработените и секако акционерите.",1.587.371,280.628,2.298.036,703.197,3.001.233,2.410.560,MKREPL101013,259.200
RIMI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,MKRIMI101017,104.569
RINS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,MKRINS101014,14.070
RZEK,РЖ Економика АД Скопје,"П Фах 736, пошта 1001",Скопје,dinev@rzekonomika.com.mk,http://www.rzekonomika.com.mk,Јасмина Андонова,+389 2 3287 438,"Р.Ж.Економика АД Скопје се занимава со трговија на големо и мало на резервни делови. Компанијата покрај трговијата со резервни делови, се занимава и со издавање на деловен простор и давање на услуги од областа на сметководствено-финансиското советување. Седиштето на компанијата е во Скопје.",19.790,640,171.046,3.384,174.430,26.762,MKEKON101019,535.245
RZIT,РЖ Интер-Трансшпед АД Скопје,ул.16-та Македонска бригада бр.18,Скопје,nikola_angeleski@intertranssped.com.mk,http://www.intertranssped.com.mk/,Никола Ангелески,+389 2 3287896,"РЖ Интер- Трансшпед АД Скопје е друштво за обезбедување на транспортни услуги во копнениот и железничкиот сообраќај со седиште во Скопје. Покрај главната дејност споредни дејности на компанијата се : шпедиција, товарење и истоварање на стока, логистички улуги, изнајмување на транспортни средства и други дополнителни транспортни услуги.",37.069,-1.988,85.308,,151.975,11.708,MKITRA101018,585.399
RZIZ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,MKSKIN101011,18.914
RZLE,АрцелорМиттал (ХРМ) АД Скопје - долгорочно суспендирано од котација,ул. 16-та Македонска бригада бр. 18,Скопје,dusko.drvarov@arcelormittal.com,http://arcelormittal.com.mk/,/,+389 23 24 39 00,Основната дејност на Друштвото е производство на топло валани котури и топло валан лим.,25.621,-89.959,-2.961.589,2.972.133,10.544,179.095,MKVALE101014,11.939.699
RZLV,Либерти АД Скопје,ул. 16-та Македонска бригада бр. 18,Скопје,liberty.skopje@libertysteelgroup.com,https://www.libertyskopje.mk/,Марија Мирковиќ,+389 23 24 39 00,"Основната дејност на Друштвото е производство на топло валани лужени котури, ладно валани котури и ладно валан лим, поцинкувани котури и лимови и пластифицирани поцинкувани котури.",5.910.484,-857.877,-410.691,3.029.287,2.618.596,1.515.733,MKLAVA101018,32.950.713
RZTK,РЖ Техничка Контрола АД Скопје,Ул. 16-та Македонска бригада бр.18,Скопје,"tkontrola2@gmail.com,  tkontrola1@gmail.com",http://www.rztk.com.mk,Силвија Трајковска,+389 2 3287 691,"Основната дејност на Друштвото е Техничко испитување и анализа. РЖ Техничка контрола-АД дава услуги за физичко-хемиски и металуршкииспитувања од областа на индустријата, рударството и металургијата.",125.718,25.661,201.099,18.846,219.945,77.224,MKTEKO101013,210.419
RZUG,Уготур АД Скопје,ул.15 - ти Корпус бр.2,Скопје,ugotur.ad@hotmail.com,http://www.ugotur.com.mk,Маја Велкова,+389 75 441 813,"Основната дејност на фирмата е приготвување, дистрибуирање и послужување на готови производи од областа на организирана исхрана на работници. УГОТУР АД Скопје своите производи ги приготвува во модерна кујна, опремена и приспособена за производство по принципите на HACCP системот за безбедност на храна. Дистрибуцијата на храната се врши со модерни возила со изотермички садови, со што се овозможува приготвената храна да се дистрибуира до купувачот во непроменета состојба.",1.531,-1.380,62.699,16.054,78.753,17.323,MKUGOT101019,866.160
RZUS,РЖ Услуги АД Скопје,ул. Македонска бригада бр. 18,Скопје,hq@rzu.com.mk,http://www.rzu.com.mk,Јован Гечески,+389 2 3288088,"РЖ Услуги АД Скопје се занимава со собирање, прочистување, призводство и дистрибуција на вода за пиење и индустриска вода. Покрај тоа компанијата извршува и други дејности како што се телефонски и интернет услуги, услуги за обезбедување и противпожарна заштита, сервисирање на противпожарни апарати, производство и дистрибуција на гас, техничко испитување и анализа, транспортни услуги, градежни услуги и др. Главното седиште на компанијата се наоѓа во Скопје.",191.080,-10.416,664.371,72.520,736.891,78.583,MKUSLU101015,1.571.668
SBT,Стопанска банка АД Битола,ул. Добривое РадосављевиЌ бр.21,Битола,stbbt@stbbt.com.mk,https://www.stbbt.mk,Даниела Ѓоршевска,+389 47 207 500; +389 47 207 541; +389 47 207 513,"Стопанска Банка АД Битола е акционерско друштво со својство на правно лице кое самостојно врши депозитни, кредитни и други банкарски работи, работи на платен промет во земјата и странство, прибирање на депозити и одобрување на кредити, работи со хартии од вредност и други банкарски работи.Банката е со седиште во Битола а располага со филијали во Скопје, Демир Хисар, Прилеп и Ресен.",792.740,-189.818,1.691.663,9.450.627,11.142.290,938.345,MKSBTB101013,390.977
SDOM,Современ дом АД Прилеп,ул. Александар Македонски ББ,Прилеп,mail@sovremen-dom.mk,http://www.sovremen-dom.mk,Ацо Дудулоски,+389 48 423 281,"СОВРЕМЕН ДОМ АД Прилеп во последните 10 години егзистира како ревитализирана компанија со обновени и реновирани објекти кои се прилагодени за издавање под закуп на разни производни и трговски компании. Друштвото располага со сопствени објекти во Прилеп како и низ други градови во Република Македонија со површина од 72.000 м2 покриен простор и отворен простор од 160.000 м2. Просторот е ограден и со целосна инфраструктура, со асфалтирани патишта околу сите објекти, пристап за големи товарни возила, паркинзи за возилата на корисниците, осветлување и обезбедување со централна служба за обезбедување, максимален потенцијал за електрична енергија и други поволности.",124.814,20.655,1.503.411,230.648,1.734.059,20.540,MKSDOM101013,684.670
SIL,Силекс АД Кратово,ул. Гоце Делчев бр.70,Кратово,/,/,Власте Савевски,+389 31 481 481,Основната дејност на „Силекс“ АД Кратово е рударство и вадење камен,1.075.951,65.753,837.853,436.846,1.274.699,31.602,MKSILK101013,451.464
SKON,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,MKSKON101013,2.100
SKP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,MKSKPV101012,179.970
SLAV,Славеј  АД Скопје,Ул. Васил Ѓоргов бр. 45,Скопје,slavej@slavej.com.mk,http://www.slavej.com.mk,Горан Чалоски,+389 2 3216 503,"Основната дејност на СЛАВЕЈ АД Скопје е производство на ортопедски помагала како и трговија на големо со фармацевски производи и трговија на мало со медицински препарати и ортопедски помагала во специјализирани продавници. Палетата на производи, кои се произведуваат од стручниот тим на СЛАВЕЈ АД Скопје, со примена на светски стандарди, од внимателно избрани материјали и имаат ISO 9001 и CE сертификати од овластени интернационални организации, ја сочинуваат: протези, ортози, инвалидски колички ортопедски чевли и влошки, штаки и одалки и помагала за бандажирање.",166.405,-1.600,140.004,26.190,166.194,63.504,MKSLAS101013,20.485
SNBT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,MKSNOB101014,27.290
SNBTO,СН Осигурителен Брокер АД Битола,ул. Димитар Илиевски Мурато бр.5,Битола,info@snbroker.mk,https://snbroker.mk/,Елена Трајчевска Павловска,+389 47 553 390,"Осигурителното брокерско друштво СН Осигурителен брокер АД Битола e aкционерско друштво овластено за вршење на осигурително брокерски работи.Друштвото започна со работа на 04.12.2014 година и  брои 28 подружници распространети на целата територија на Р.С.Македонија, како и мрежа од 106 вработени – професионалци од различни области, со што СН Осигурителен брокер АД Битола претставува најголем осигурителен брокер во државата по основ на бруто полисирана премија, број на вработени, број на подружници и реализирани штети. Друштвото располага со 27 осигурителни брокери, два машински инженери во Отсек за возила и друг специјализиран кадар. Главна дејност на друштвото е:проценка на ризик, посредување во договарање на осигурително и реосигурително покритие, проценка и посредување во реализирање на оштетни побарувања, откуп на оштетни побарувања, советување и откуп на побарувања.",325.914,17.465,230.029,1.633.788,1.863.817,75.830,N/A,N/A
SOLN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,MKSOL1101012,82.246
SPAZ,Скопски Пазар АД Скопје,ул. Ѓорче Петров бр. 7,Скопје,info@skp.mk,http://www.skopskipazar.com.mk,Велимир Шиповиќ,+389 2 2404 300; +389 2 2404 204,"Скопски Пазар АД Скопје е компанија која се занимава со трговија. Компанијата поседува четири супермаркети кои го носат бренд името СП Маркет, 11 дисконти познати како Макси Д, две продавници за мебел, салон за убавина, и специјализирана продавница за текстил која го промовира Словенскиот бренд Одеја. Исто така компанијата е активна и во секторот со недвижен имот, врши изнајмување на простор, менаџира со 14 пазари за зеленчук и овошје и еден пазар за добиток. Исто така Компанијата поседува еден царински терминал, складиште и два ресторани.",275.158,120.490,2.352.121,699.115,3.051.236,496.559,MKSPAZ101010,70.937
SPAZP,Скопски Пазар АД Скопје,ул. Ѓорче Петров бр. 7,Скопје,info@skp.mk,http://www.skopskipazar.com.mk,Велимир Шиповиќ,+389 2 2404 300; +389 2 2404 204,"Скопски Пазар АД Скопје е компанија која се занимава со трговија. Компанијата поседува четири супермаркети кои го носат бренд името СП Маркет, 11 дисконти познати како Макси Д, две продавници за мебел, салон за убавина, и специјализирана продавница за текстил која го промовира Словенскиот бренд Одеја. Исто така компанијата е активна и во секторот со недвижен имот, врши изнајмување на простор, менаџира со 14 пазари за зеленчук и овошје и еден пазар за добиток. Исто така Компанијата поседува еден царински терминал, складиште и два ресторани.",275.158,120.490,2.352.121,699.115,3.051.236,496.559,MKSPAZ101010,70.937
SPOL,Струмичко поле с. Василево,с. Василево,Струмица,/,/,Васе Митев,+389 34 354776,"АД Струмичко поле с.Василево произведува и продава земјоделски култури како што се жито, асталско грозје, вино, ракија и други земјоделски сточарски производи.",89.409,-35.682,399.501,40.315,439.816,1.196,MKSPOL101010,239.253
SSPR,Сигурносно стакло АД Прилеп,ул. Моша Пијаде ББ,Прилеп,/,/,Најдоски Драган,+389 48 402 210,"Основните дејности на издавачот се трговија на мало со метална стока, бои и стакло и издавање и управување со сопствен недвижен имот.",10.433,989,-8.129,39.500,31.371,7.696,MKSSPR101010,21.377
STB,Стопанска банка АД Скопје,ул.11 Октомври бр.7,Скопје,sbank@stb.com.mk,http://www.stb.com.mk,Бојан Цветковски,+389 2 3295 295,"Стопанска банка А.Д. - Скопје е Банка со најдолга традиција на македонскиот пазар. Основана како првата банка во Македонија во 1944 година, Стопанска банка ги постави темелите за банкарското работење и се уште претставува лидер во развојот и во спроведувањето на најсовремените финансиски производи и услуги за населението и за правните лица што работат во Македонија. На почетокот на 2000 година управувачкиот пакет-акции од Стопанска банка А.Д. - Скопје беше откупен од страна на Националната банка на Грција – една од најголемите банкарски групации во Југоисточна Европа. Со овој значителен чекор Банката го продолжи својот растеж и развој во успешна компанија во согласност со светските банкарски стандарди. По преземањето од НБГ, Стопанска банка А.Д. - Скопје ја засили својата конкурентност преку интензивно преструктурирање. Банката воведе софистициран информациски систем и нова организациска структура, го исчисти своето кредитно портфолио, воведе стандардизирани процедури за кредитно одлучување, управување на ризиците и на набавките, ја подобри структурата на вработени и стана водечка компанија во земјата во корпоративното управување. Денес, Стопанска банка А.Д. – Скопје е Банка со најголем број клиенти од населението и од правните лица, Банка со најразвиена мрежа на локации, најголемо портфолио кредитни и депозитни производи и Банка со најголема актива.",7.783.341,3.470.799,25.725.804,106.039.900,131.765.704,23.008.676,MKSTBS101014,17.460.180
STBP,Стопанска банка АД Скопје,ул.11 Октомври бр.7,Скопје,sbank@stb.com.mk,http://www.stb.com.mk,Бојан Цветковски,+389 2 3295 295,"Стопанска банка А.Д. - Скопје е Банка со најдолга традиција на македонскиот пазар. Основана како првата банка во Македонија во 1944 година, Стопанска банка ги постави темелите за банкарското работење и се уште претставува лидер во развојот и во спроведувањето на најсовремените финансиски производи и услуги за населението и за правните лица што работат во Македонија. На почетокот на 2000 година управувачкиот пакет-акции од Стопанска банка А.Д. - Скопје беше откупен од страна на Националната банка на Грција – една од најголемите банкарски групации во Југоисточна Европа. Со овој значителен чекор Банката го продолжи својот растеж и развој во успешна компанија во согласност со светските банкарски стандарди. По преземањето од НБГ, Стопанска банка А.Д. - Скопје ја засили својата конкурентност преку интензивно преструктурирање. Банката воведе софистициран информациски систем и нова организациска структура, го исчисти своето кредитно портфолио, воведе стандардизирани процедури за кредитно одлучување, управување на ризиците и на набавките, ја подобри структурата на вработени и стана водечка компанија во земјата во корпоративното управување. Денес, Стопанска банка А.Д. – Скопје е Банка со најголем број клиенти од населението и од правните лица, Банка со најразвиена мрежа на локации, најголемо портфолио кредитни и депозитни производи и Банка со најголема актива.",7.783.341,3.470.799,25.725.804,106.039.900,131.765.704,23.008.676,MKSTBS101014,17.460.180
STIL,Макстил АД Скопје,ул. 16-та Македонска бригада бр. 18,Скопје,info@makstil.com.mk,http://www.makstil.com,Карин Павлоски,+389 2 3287023,"Макстил АД Скопје е компанија која е ориентирана кон челичната индустрија. Врши обработка на челик користејќи ги капацитетите на електропечки за производство на течен челик, леење на челик, топловалани лимови, производство на сурово железо, челик и феролегури, рециклажа на метални отпадоци, трговија на големо со метали и метални руди, трговија на големо со репродукционен материјал, трговија на големо со отпадоци и остатоци. Главен акционер во Макстил АД Скопје е Duferco Skop SA , компанија со седиште во Лугано, Швајцарија.",8.274.739,355.552,3.567.128,4.533.922,8.101.050,1.857.114,MKSTIL101014,14.622.943
STOK,Стокопромет АД Скопје,Бул. Партизански одреди бр. 70 Б,Скопје,/,/,Марија Петрушевска,+389 2 3061 007,"СТОКОПРОМЕТ АД Скопје е компанија која е основана далечната 1950 година со основна дејност промет со земјоделски и сточарски производи.Надворешното трговско работење на СТОКОПРОМЕТ AД преку извозот и узвозот на жива стока, месо, месни и млечни производи, добиточна храна и компоненти за добиточна храна била основна дејност на друштвото која овозможувала успешно финансиско работење.",,106,118.038,82,118.120,39.600,MKSTOK101017,33.000
TAJM,Тајмиште АД Кичево - долгорочно суспендирано од котација,Ул. 11 Септември влез 1 сутерен,Кичево,adtajmiste@yahoo.com,http://www.tajmiste.com.mk,Владимир Толески,+389 45 223 805,"Основни дејности на Тајмиште АД Кичево, наведувајќи ги главните производи и услуги се:• Рударски услуги (транспорт, ископ, дупчење и минирање)• Производство на жичани производи (жичано плетиво, истегнат метал ибраварија)• Угостителски услуги ( Хотели - ресторани Хотел Кичево и Куќа наУметност)",14.902,-30.387,160.650,76.697,237.347,25.551,MKTAJM101012,26.341
TBKO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,MKTBKO101016,18.326
TEAL,ТЕАЛ АД  Тетово,ул. Браќа Миладиновци бб,Тетово,/,/,Елена Шанцлиќ,+389 44 335 290,"Главна дејност на АД ТЕАЛ Тетово е производство на алуминиумски профили и легури, додека главни производи се: алуминиумски профили и алуминиумски инготи",176.602,-20.727,219.988,5.143,225.131,42.584,MKTEAL101018,58.334
TEHN,Технокомерц АД Скопје,ул.Јадранска Магистрала бр.56,Скопје,tehnok@tehnokomerc.com.mk,http://www.tehnokomerc.com.mk/,Лидија Црвенковска,+389 2 3097 193,"Технокомерц АД Скопје во својата деловна активност вклучува внатрешна и надоврешна трговија со: Резервни делови за теретни и полутеретни возила, автобуси, градежна и рударска механизација; Гуми за возила; Индустриска стока; Црна и обоена индустрија; Градежна механизација како и производство на: Хидраулични црева приклуцови редуцири; Гуменотехничка стока; Гумени држачи; Манжетни; Селен блокови; Заптивни материјали; Производи од силиконска гума; Автоматски хидраулични спојници за секоја намена,вентили и спојници за нафтени деривати; Метално свитливи црева",480.070,2.158,300.728,196.717,497.445,22.000,MKTEHN101019,22.000
TEL,Македонски Телеком АД – Скопје,„Кеј 13-ти Ноември“ бр. 6,Скопје,press@telekom.mk,http://www.telekom.mk,Златко Кузмановски,+389 2 310 0200,"Како водечки национален давател на електронски комуникации, Македонски Телеком АД – Скопје им нуди на своите корисници широк спектар на високо квалитетни телекомуникациски услуги и забавни содржини во рамки на фиксната мрежа, широкопојасните услуги и интегрираните решенија, вклучувајќи и ТВ преку Интернет протокол (IPTV). Портфолиото на производи на компанијата вклучува услуги базирани на интернет протокол, пренос на податоци, продажба и изнајмување на опрема и услуги за системска интеграција. Со обезбедување на иновативни услуги со висок квалитет и ефикасност на сите полиња на работење, компанијата има клучно место и улога во модернизацијата и подобрувањето на телекомуникацискиот пазар во Република Македонија. Со развој на иновативни производи и услуги, компанијата го промовира личното и општественото вмрежување помеѓу луѓето во македонското општество, што ја прави главен национален инженер на информатичкото општество во земјата.",11.912.553,2.080.351,16.052.015,4.529.781,20.581.796,36.782.924,MKMTSK101019,95.838.780
TETE,Тетекс АД Тетово,ул. Браќа Миладинови бр. 1,Тетово,teteks@mt.net.mk,http://www.teteks.com.mk,Павлинка Трповска,+389 44 339006,"Тетекс АД Тетово е компанија која се занимава со текстилна идустрија. Во оваа фабрика се произведуваат машки и женски конфекциски производи  од различни типови на ткаенини поризведени од Тетексовата фабрика за ткаенини или од други производители по желба на купувачите. Машка конфекција: одела, панталони, капути, јакни, смокинзи и др. Женска конфекција: костими, блејзери, панталони, сукњи, шорцеви, капути и др. Тетекс АД Тетово е извозно ориентирана компанија и главни извозни пазари се во Европа (Германија, Италија, Велика Британија, Франција, Данска, Грција, Австрија, Словенија, Хрватска, Бугарија) и Америка. Покрај основната дејност групацијата Тетекс АД Тетово има вложувања и во други дејности и тоа: банкарство (најголем поединеччен акционер на ТТК банка АД Скопје, електро-машински услуги и инженеринг, трговија со нафтени деривати итн.",102.485,85.375,1.654.356,48.398,1.702.754,1.237.957,MKTETE101016,414.171
